dimension,funcion,algoritmo,variante,repeticion,mejor_final,tiempo_total,iter_mejor
10,Esfera,AG,AG_base,24,0.5453846360614241,0.6072548000011011,98
10,Esfera,AG,AG_base,25,1.6411176666131675,0.6083940000025905,94
10,Esfera,AG,AG_base,26,0.5627471614332725,0.6104675000024145,94
10,Esfera,AG,AG_base,27,0.45976717304500936,0.6131520999988425,94
10,Esfera,AG,AG_base,28,0.40066488895243024,0.6434991999994963,96
10,Esfera,AG,AG_base,29,0.6017321762886574,0.6189563000007183,99
10,Ackley,PSO,PSO_estandar,0,0.022751577649327448,0.08067339999979595,99
10,Ackley,PSO,PSO_estandar,1,0.014965456420523271,0.0789985000010347,98
10,Ackley,PSO,PSO_estandar,2,0.026033965824158845,0.07892880000144942,99
10,Ackley,PSO,PSO_estandar,3,0.03126074888760799,0.07945620000100462,99
10,Ackley,PSO,PSO_estandar,4,0.013156428323768399,0.07998740000039106,99
10,Ackley,PSO,PSO_estandar,5,0.013315634727022019,0.07832389999384759,99
10,Ackley,PSO,PSO_estandar,6,0.012085683483857412,0.08992859999852953,99
10,Ackley,PSO,PSO_estandar,7,0.019471896251520793,0.08445039999787696,99
10,Ackley,PSO,PSO_estandar,8,0.007870676003346677,0.08007129999896279,97
10,Ackley,PSO,PSO_estandar,9,0.01132466946410604,0.08092039999610279,99
10,Ackley,PSO,PSO_estandar,10,0.007008597296739527,0.08211049999954412,96
10,Ackley,PSO,PSO_estandar,11,0.016324803552596467,0.07900630000222009,97
10,Ackley,PSO,PSO_estandar,12,0.0071129915639081,0.07821249999688007,98
10,Ackley,PSO,PSO_estandar,13,0.0092586703027,0.07881420000194339,94
10,Ackley,PSO,PSO_estandar,14,0.017993279974696907,0.08214530000259401,99
10,Ackley,PSO,PSO_estandar,15,0.030240271733433577,0.08272969999961788,98
10,Ackley,PSO,PSO_estandar,16,0.013007173933147431,0.08021519999601878,99
10,Ackley,PSO,PSO_estandar,17,0.05358671495301737,0.07913669999834383,98
10,Ackley,PSO,PSO_estandar,18,0.009698762072531952,0.07914959999470739,99
10,Ackley,PSO,PSO_estandar,19,0.00634068080371053,0.07917069999530213,99
10,Ackley,PSO,PSO_estandar,20,0.014045330395689337,0.07900919999519829,99
10,Ackley,PSO,PSO_estandar,21,0.018422217223968307,0.07907780000095954,99
10,Ackley,PSO,PSO_estandar,22,0.013676866260216247,0.07892900000297232,99
10,Ackley,PSO,PSO_estandar,23,0.010662325763668878,0.07904209999833256,99
10,Ackley,PSO,PSO_estandar,24,0.021182522564331396,0.0792998999968404,98
10,Ackley,PSO,PSO_estandar,25,0.017737875016881066,0.0790774999986752,99
10,Ackley,PSO,PSO_estandar,26,0.012397552703568682,0.07968410000466974,97
10,Ackley,PSO,PSO_estandar,27,0.014366496693068331,0.07840109999960987,99
10,Ackley,PSO,PSO_estandar,28,0.013859425453891294,0.07905380000011064,95
10,Ackley,PSO,PSO_estandar,29,0.022834370959334382,0.07872019999922486,95
10,Ackley,PSO,PSO_exploracion,0,15.204301237973443,0.07927740000013728,93
10,Ackley,PSO,PSO_exploracion,1,15.038419391167473,0.07845989999623271,64
10,Ackley,PSO,PSO_exploracion,2,13.538413455500697,0.07810609999432927,85
10,Ackley,PSO,PSO_exploracion,3,12.86162695449552,0.07839409999724012,52
10,Ackley,PSO,PSO_exploracion,4,15.627034472084464,0.07827710000128718,65
10,Ackley,PSO,PSO_exploracion,5,12.444115087308704,0.07858950000081677,46
10,Ackley,PSO,PSO_exploracion,6,13.223291426240852,0.07849410000198986,86
10,Ackley,PSO,PSO_exploracion,7,14.991562095157022,0.07867609999811975,86
10,Ackley,PSO,PSO_exploracion,8,15.18428298056713,0.08099090000177966,58
10,Ackley,PSO,PSO_exploracion,9,19.95394385881219,0.08037209999747574,41
10,Ackley,PSO,PSO_exploracion,10,14.914744855072495,0.081409899998107,59
10,Ackley,PSO,PSO_exploracion,11,14.403238336889073,0.08116120000340743,91
10,Ackley,PSO,PSO_exploracion,12,11.059828298633823,0.0810222000000067,63
10,Ackley,PSO,PSO_exploracion,13,16.42702599358606,0.07902730000205338,50
10,Ackley,PSO,PSO_exploracion,14,16.129144597298655,0.07836959999985993,63
10,Ackley,PSO,PSO_exploracion,15,13.29317822021159,0.07840369999757968,73
10,Ackley,PSO,PSO_exploracion,16,15.722633195812886,0.07829060000221943,19
10,Ackley,PSO,PSO_exploracion,17,11.044602470204783,0.07846409999910975,53
10,Ackley,PSO,PSO_exploracion,18,16.122304700607337,0.07854650000081165,88
10,Ackley,PSO,PSO_exploracion,19,14.159592435622173,0.07872199999837903,30
10,Ackley,PSO,PSO_exploracion,20,15.546884086392295,0.07848189999640454,70
10,Ackley,PSO,PSO_exploracion,21,16.106091040389202,0.07864839999820106,83
10,Ackley,PSO,PSO_exploracion,22,13.68580400789746,0.08106769999722019,85
10,Ackley,PSO,PSO_exploracion,23,14.414628107371996,0.08769259999826318,66
10,Ackley,PSO,PSO_exploracion,24,14.433290265127068,0.07920470000681235,61
10,Ackley,PSO,PSO_exploracion,25,13.12952490965385,0.07937289999972563,96
10,Ackley,PSO,PSO_exploracion,26,14.761611286136356,0.07887940000364324,25
10,Ackley,PSO,PSO_exploracion,27,15.055123269868783,0.07884950000152458,82
10,Ackley,PSO,PSO_exploracion,28,14.626453936527286,0.07863589999760734,16
10,Ackley,PSO,PSO_exploracion,29,14.700265779791074,0.07881279999855906,61
10,Ackley,PSO,PSO_explotacion,0,3.068370462134862,0.07899059999908786,99
10,Ackley,PSO,PSO_explotacion,1,6.391945013432174,0.0788985999970464,99
10,Ackley,PSO,PSO_explotacion,2,5.016991615504271,0.07875419999618316,99
10,Ackley,PSO,PSO_explotacion,3,5.907938386974585,0.0784025999964797,99
10,Ackley,PSO,PSO_explotacion,4,6.481366430599692,0.07930849999684142,99
10,Ackley,PSO,PSO_explotacion,5,3.2857012466928492,0.07879849999881117,99
10,Ackley,PSO,PSO_explotacion,6,3.339071237479154,0.07852689999708673,99
10,Ackley,PSO,PSO_explotacion,7,5.027503715258174,0.07849220000207424,98
10,Ackley,PSO,PSO_explotacion,8,9.883150108563559,0.07845649999944726,97
10,Ackley,PSO,PSO_explotacion,9,7.049565439799448,0.07941630000277655,99
10,Ackley,PSO,PSO_explotacion,10,2.7152262202279975,0.08335990000341553,99
10,Ackley,PSO,PSO_explotacion,11,5.338634038805974,0.0836353999984567,99
10,Ackley,PSO,PSO_explotacion,12,3.6335823080819236,0.07905540000501787,99
10,Ackley,PSO,PSO_explotacion,13,4.301248880541472,0.07911019999301061,99
10,Ackley,PSO,PSO_explotacion,14,4.908255406021901,0.07914680000249064,99
10,Ackley,PSO,PSO_explotacion,15,7.163088679090034,0.07854569999472005,98
